place,player,player_key,league,movement,country,points
447,Robin Anderson,1798,WTA,down,USA,122
448,Fernanda Labrana,2121,WTA,down,Chile,121
449,Madison Brengle,2391,WTA,down,USA,120
450,Ruth Roura Llaverias,58496,WTA,down,Spain,120
451,Meiqi Guo,9108,WTA,down,China,120
452,Noemi Basiletti,13420,WTA,up,Italy,120
453,Patcharin Cheapchandej,5426,WTA,down,Thailand,120
454,Ipek Oz,486,WTA,down,Turkey,119
455,Elena Malygina,1994,WTA,down,Estonia,119
456,Dalina Amariei Ilinca,30,WTA,up,Romania,119
457,Thaisa Pedretti,4778,WTA,up,Brazil,118
458,Weronika Ewald,38788,WTA,down,Poland,118
459,Valentini Grammatikopoulou,504,WTA,up,Greece,118
460,Mia Pohankova,61034,WTA,down,Slovakia,116
461,Aleksandra Krunic,443,WTA,down,Serbia,115
462,Emily Seibold,13503,WTA,down,Germany,115
463,Daria Lodikova,993,WTA,down,World,114
464,Mariia Tkacheva,13204,WTA,up,World,114
465,Ekaterina Khayrutdinova,10901,WTA,down,World,114
466,Hibah Shaikh,28034,WTA,same,USA,114
467,Angelina Voloshchuk,39033,WTA,down,Portugal,113
468,Florencia Urrutia Maria,54084,WTA,down,Argentina,113
469,Fangzhou Liu,1959,WTA,down,China,113
470,Georgeta Simion Oana,167,WTA,down,Romania,113
471,Akua Stoiber Ranah,9387,WTA,down,United Kingdom,112
472,Urszula Radwanska,2272,WTA,down,Poland,112
473,Jeline Vandromme,73460,WTA,down,Belgium,112
474,Malene Helgo,172,WTA,down,Norway,111
475,Martina Colmegna,1348,WTA,down,Italy,110
476,Anastasia Kulikova,458,WTA,down,Finland,110
477,Ana Candiotto,10902,WTA,up,Brazil,110
478,Ekaterina Ovcharenko,18807,WTA,down,World,110
479,Olivia Lincer,19335,WTA,up,Poland,110
480,Sofya Lansere,69,WTA,down,World,110
481,Britt Du Pree,54738,WTA,down,Netherlands,110
482,Josy Daems,40135,WTA,down,Germany,110
483,Radka Zelnickova,1363,WTA,down,Slovakia,109
484,Andreea Prisacariu,13793,WTA,down,Romania,109
485,Rasheeda McAdoo,1414,WTA,down,USA,109
